Experiment,Binary encoding - Test problem 1,Real encoding - Test problem 1,"Binary encoding - Ackley function, n=2","Real encoding - Ackley function, n=2","Binary encoding - Rastrigin function, n=5","Real encoding - Rastrigin function, n=5"
Experiment 1,1.7017825149736265e-05,0.0001024660191174046,1.9531377195569632e-06,0.0008545734405029926,10.841635883565871,0.005750772617645339
Experiment 2,0.2417327884882931,5.473446007872716e-05,1.953137733767818e-06,0.004686194304721614,6.159110027759624,0.001653898509871965
Experiment 3,0.24173277421034903,0.00017679785183179496,1.9531377195569632e-06,0.0019016997088567855,11.08244826833161,0.001070355676432655
Experiment 4,0.00016644183851278666,3.3962074538957266e-05,1.9531377195569632e-06,0.0006489982491832968,0.9949590585747998,0.0019475938455286723
Experiment 5,0.2417327884882931,0.0001458866603456892,1.9531377195569632e-06,0.004489689128327701,4.702274763707479,0.0009907990884201467
Experiment 6,0.015376069364433042,0.00408582150653213,1.9531377195569632e-06,0.0008725721586100299,2.7873167934246013,0.00231822006190896
Experiment 7,0.010816057143057832,7.364682853797254e-05,1.953137733767818e-06,0.0020425881740995244,6.159110027759603,0.007774374582012911
Experiment 8,0.04000011914342779,2.7693722990090123e-05,1.9531377195569632e-06,0.002098256655380215,2.2357725167564126,0.0005559836403179474
Experiment 9,6.43557315183062e-05,0.00016160587283322873,1.9531377195569632e-06,0.003735516639107761,2.2357725167564126,0.00212106647929744
Experiment 10,0.0347549607983602,0.0008489943518714831,1.953137733767818e-06,0.0009841945890660675,9.237766107617063e-11,0.0017208026462895987
Experiment 11,0.08763101664133102,2.483979211043955e-05,1.9531377195569632e-06,0.004186654497502662,11.082448268331632,0.00035408863756458686
Experiment 12,4.001003826920709e-06,1.0882119038620897e-05,1.9531377195569632e-06,0.003911737658900183,4.9233382406644,0.0011416027366095705
Experiment 13,0.24173277421034903,0.0003924458451832062,1.9531377053461085e-06,0.0031729615910873754,9.237766107617063e-11,0.0007235768972506662
Experiment 14,0.0008456863049852695,1.1638888850503431e-05,1.9531377195569632e-06,0.005216311177794086,2.471543574282812,0.001490700921124244
Experiment 15,1.0000009765868132,7.1510937552982246e-06,1.953137733767818e-06,0.006046373204199984,4.923338240664407,0.0003685873874275103
Experiment 16,0.07006853619861607,0.00017778403524260197,1.953137733767818e-06,0.0022386612637359526,2.471543574282812,0.029433070054324162
Experiment 17,0.05382414161323883,0.00011520283201306322,1.9531377053461085e-06,0.001693606137930903,11.082448268331639,0.0006691563956167101
Experiment 18,0.08052421168340854,0.0008229992923585815,1.953137733767818e-06,0.002410417621810712,6.159110027759617,0.003362807179421168
Experiment 19,6.7712049164875026e-12,8.375234481431833e-05,1.953137733767818e-06,0.0009853456701596208,9.237766107617063e-11,0.0005421634729287916
Experiment 20,0.11560054928890755,0.00042861289225987377,1.953137733767818e-06,0.002761762848454641,2.2357725167564126,0.0007796400292860994
Mean,0.12383126332848211,0.0003893459242151992,1.95313772382022e-06,0.0027469057359716053,4.627397128399363,0.003238463042963957
Standard Deviation,0.2254297429862366,0.0009046745846436293,9.335773900883545e-15,0.0016090051787441815,3.8259016796736804,0.006443407488761511
Min,6.7712049164875026e-12,7.1510937552982246e-06,1.9531377053461085e-06,0.0006489982491832968,9.237766107617063e-11,0.00035408863756458686
Max,1.0000009765868132,0.00408582150653213,1.953137733767818e-06,0.006046373204199984,11.082448268331639,0.029433070054324162
